Driving_ACC_CACC.slx111111110,738561.3058121196227148175,acc_active,name_acc_active;type_Inport;parent_name_Driving_ACC_CACC;hierarchy_depth_0;num_lines_1;num_inputs_0;num_outputs_1;ul_35_83;lr_65_97;rul_605_-3;rlr_765_218
Driving_ACC_CACC.slx111111110,738561.1035841993289068341,cacc_active,name_cacc_active;type_Inport;parent_name_Driving_ACC_CACC;hierarchy_depth_0;num_lines_1;num_inputs_0;num_outputs_1;ul_35_113;lr_65_127;rul_605_-33;rlr_765_188
Driving_ACC_CACC.slx111111110,738561.3629802042851224542,desired_velocity,name_desired_velocity;type_Inport;parent_name_Driving_ACC_CACC;hierarchy_depth_0;num_lines_1;num_inputs_0;num_outputs_1;ul_35_148;lr_65_162;rul_160_-16;rlr_160_1
Driving_ACC_CACC.slx111111110,738561.1256614665035158396,desired_acceleration_parameter,name_desired_acceleration_parameter;type_Inport;parent_name_Driving_ACC_CACC;hierarchy_depth_0;num_lines_1;num_inputs_0;num_outputs_1;ul_35_188;lr_65_202;rul_605_-108;rlr_765_113
Driving_ACC_CACC.slx111111110,738561.3820687390398234129,lead_covered_distance,name_lead_covered_distance;type_Inport;parent_name_Driving_ACC_CACC;hierarchy_depth_0;num_lines_2;num_inputs_0;num_outputs_1;ul_35_253;lr_65_267;rul_1275_394;rlr_1275_411
Driving_ACC_CACC.slx111111110,738561.4859181878855451941,lead_velocity,name_lead_velocity;type_Inport;parent_name_Driving_ACC_CACC;hierarchy_depth_0;num_lines_1;num_inputs_0;num_outputs_1;ul_35_318;lr_65_332;rul_345_-16;rlr_345_1
Driving_ACC_CACC.slx111111110,738561.3259607458021491766,pre_distance,name_pre_distance;type_Inport;parent_name_Driving_ACC_CACC;hierarchy_depth_0;num_lines_1;num_inputs_0;num_outputs_1;ul_35_428;lr_65_442;rul_250_104;rlr_250_121
Driving_ACC_CACC.slx111111110,738560.9999208244262263179,pre_velocity,name_pre_velocity;type_Inport;parent_name_Driving_ACC_CACC;hierarchy_depth_0;num_lines_1;num_inputs_0;num_outputs_1;ul_35_488;lr_65_502;rul_315_-16;rlr_315_1
Driving_ACC_CACC.slx111111110,738561.1216982693877071142,pre_covered_distance,name_pre_covered_distance;type_Inport;parent_name_Driving_ACC_CACC;hierarchy_depth_0;num_lines_2;num_inputs_0;num_outputs_1;ul_35_538;lr_65_552;rul_185_-1;rlr_185_16
Driving_ACC_CACC.slx111111110,738561.4393207429675385356,ACCDelayDistance,name_ACCDelayDistance;type_Constant;parent_name_Driving_ACC_CACC;hierarchy_depth_0;num_lines_2;num_inputs_0;num_outputs_1;ul_135_670;lr_250_700;rul_200_-130;rlr_140_-125
